pID	Player	PlayfabID	SquadID	TeamID	Kills	Placement
1	Egan777	5FBF1FC4F71AC681	-1	-1	0	-1
2	Жаба в капюшоне	93B6A475CE4D152	-1	-1	0	27
3	furry nnaanachi	2F40B9F206E5B4C	-1	-1	1	19
4	Mercury	8855CCF1F382C88F	-1	-1	0	36
5	Hekaru	FEB0F36F638AD5DB	-1	-1	1	9
6	detlysan	B99E4B6576DE5511	-1	-1	0	14
7	Всадник Хомяка	DD064189367F3DE7	-1	-1	0	29
8	Ram	8550FFE49BFFD91E	-1	-1	0	31
9	OG buba	77B4FA8426A98A8A	-1	-1	1	12
10	Mouton Binoclard	53F9EFB9912B04AE	-1	-1	3	6
11	griga2208	C4A6525D16B4D36E	-1	-1	0	-1
12	Eevee	C93D376B5C3668E	-1	-1	5	26
13	M_	40633242CCF78056	-1	-1	1	17
14	Nyxie	C90FE5034B572597	-1	-1	1	33
15	Потужний	BA377DEA2A98F265	-1	-1	0	15
16	Шад	DFFD5FD168579419	-1	-1	0	18
17	eggbite	9EE3435C78C236E9	-1	-1	1	8
18	aliko_mail	7EA4AEF1336513D	-1	-1	1	1
19	Sodium Superoxide	FE979EEEBE80A5A6	-1	-1	0	37
20	lady_nymeria25	45540417720EDF21	-1	-1	1	2
21	DenisOsh	4D7015A2F325C97E	-1	-1	0	35
22	KOZLOW	CB96A77EABC076D0	-1	-1	2	4
23	Leafy_220	87CC9F7E937FFE79	-1	-1	0	23
24	I Love BTS	B40859B2A927B4F1	-1	-1	0	25
25	hatsuya_07	CBFF6B423A51832	-1	-1	0	24
26	kYro2664	98A155E53135E48C	-1	-1	2	7
27	.E_ddie	9C7CD5F00984E0DC	-1	-1	3	10
28	LuchMech	2F9D5BD71D1CF4B0	-1	-1	1	22
29	Evered	89D7A703C1DBAB7F	-1	-1	1	13
30	Foxfolt	9488BA10B6C59D58	-1	-1	2	28
31	Edmond_le_goat	FC6D3362C5041F81	-1	-1	0	16
32	Myndu	CEBD797CCE41952	-1	-1	3	5
33	Piuro pie	1975C0922532D51A	-1	-1	0	21
34	ttvriver19RAT	AE73C3352F8F84BF	-1	-1	0	20
35	Хомикадзе	2474A8DDC13541C7	-1	-1	0	11
36	CORVIS	44E0129E33F45A6A	-1	-1	0	30
37	grechka	D58947F3C3454AE0	-1	-1	0	34
38	waze	77484483CDA95496	-1	-1	5	3
39	Lmo	5A040B0CCB912C9F	-1	-1	0	32
