ID_player,Name,Rank,Score,Rounds Played,Total Kills,Total Wins,Kill Avg,Plac Avg,Max Kills,R1 P,R1 K,R1 Mk,R1 NbPl,R1 S,R2 P,R2 K,R2 Mk,R2 NbPl,R2 S,R3 P,R3 K,R3 Mk,R3 NbPl,R3 S,R4 P,R4 K,R4 Mk,R4 NbPl,R4 S,R5 P,R5 K,R5 Mk,R5 NbPl,R5 S,R6 P,R6 K,R6 Mk,R6 NbPl,R6 S,R7 P,R7 K,R7 Mk,R7 NbPl,R7 S,R8 P,R8 K,R8 Mk,R8 NbPl,R8 S
447C4DDBA880376B,m44ndy on youtube,1,140.88,8,21,2,2.62,4.12,5,1,4,True,22,25.49,8,0,False,24,6.35,3,4,False,24,19.68,8,0,False,27,6.9,8,2,False,27,11.25,2,3,True,26,22.29,1,3,False,25,23.72,2,5,True,25,25.18
15955F41EC12C4F,Mkel,2,131.53,8,18,0,2.25,3.62,4,4,3,False,22,15.81,2,3,True,24,21.61,2,0,False,24,14.05,2,4,True,27,24.34,4,2,False,27,15.17,5,2,False,26,13.63,6,1,False,25,10.33,4,3,False,25,16.59
909A547187B1EB0D,Harna,3,123.45,8,15,0,1.88,3.62,4,4,2,False,22,13.99,2,3,True,24,21.61,2,4,False,24,21.93,2,3,False,27,21.17,4,3,False,27,17.06,5,0,False,26,9.28,6,0,False,25,8.05,4,0,False,25,10.36
94FF948419FF1AF7,bon joueur,4,117.0,8,10,2,1.25,4.12,4,1,2,False,22,20.76,8,0,False,24,6.35,3,0,False,24,11.8,8,1,False,27,9.18,8,0,False,27,6.9,2,0,False,26,14.64,1,4,True,25,26.79,2,3,False,25,20.57
7B215D4B262D1349,EggsSkrambled,5,96.94,8,9,2,1.12,6.12,2,10,0,False,22,4.87,7,0,False,24,7.03,6,1,False,24,10.13,10,2,False,27,10.14,10,2,False,27,10.14,1,1,False,26,20.13,4,1,False,25,12.65,1,2,False,25,21.85
7C1569D98EDC54D,zzzIncrpt,6,93.93,7,10,2,1.43,5.57,3,0,0,False,0,0,7,0,False,24,7.03,6,2,False,24,12.19,10,2,False,27,10.14,10,1,False,27,8.07,1,1,False,26,20.13,4,1,False,25,12.65,1,3,False,25,23.72
CEBD797CCE41952,Myndu,7,91.23,8,10,0,1.25,6.0,3,9,0,False,22,5.38,5,1,False,24,11.14,4,1,False,24,12.42,6,1,False,27,10.72,5,0,False,27,9.48,6,3,True,26,15.89,3,2,False,25,16.42,10,2,False,25,9.79
BB33B0695F75D2A5,AshKetchup,8,83.43,8,8,0,1.0,7.12,2,12,2,False,22,8.33,3,2,False,24,16.15,11,0,False,24,4.79,9,0,False,27,6.31,3,1,False,27,14.84,3,2,False,26,16.67,5,1,False,25,11.35,11,0,False,25,4.98
893CD418101A1848,Explosive Diarrhea,9,82.86,7,9,0,1.29,6.57,3,12,0,False,22,3.99,3,3,True,24,19.36,0,0,False,0,0,9,0,False,27,6.31,3,1,False,27,14.84,3,3,True,26,19.96,5,2,False,25,13.42,11,0,False,25,4.98
83C16BD4221C3D0C,Neko,10,81.9,7,8,1,1.14,6.57,3,0,0,False,0,0,4,1,False,24,12.42,7,1,False,24,9.32,1,2,False,27,22.54,11,0,False,27,5.33,4,3,True,26,18.24,7,1,False,25,9.51,12,0,False,25,4.56
924945A68F8A0E7A,butterflies & hurricanes,11,74.22,8,9,1,1.12,9.38,5,7,0,False,22,6.62,10,2,False,24,9.6,1,5,True,24,27.88,13,0,False,27,4.52,12,1,False,27,7.18,13,0,False,26,4.34,12,1,False,25,6.84,7,0,False,25,7.22
2A8A278C50B5FAE0,gunner,12,73.84,7,5,1,0.71,6.57,3,0,0,False,0,0,4,0,False,24,10.13,7,0,False,24,7.03,1,3,False,27,24.43,11,1,False,27,7.6,4,1,False,26,12.87,7,0,False,25,7.22,12,0,False,25,4.56
92667BD0439E88E3,NRG,13,73.45,7,8,1,1.14,8.0,3,11,1,False,22,6.71,1,3,True,24,24.7,13,0,False,24,3.99,5,0,False,27,9.48,0,0,False,0,0,11,1,False,26,7.43,10,1,False,25,7.72,5,2,False,25,13.42
E058B0D22C6C412F,JCIstoals,14,71.22,8,7,0,0.88,8.0,4,5,0,False,22,8.4,6,0,False,24,7.84,5,1,False,24,11.14,14,0,False,27,4.15,7,4,True,27,17.01,10,1,False,26,7.9,9,1,False,25,8.24,8,0,False,25,6.54
F962E1F3C62C4301,Nayzix 戈,15,68.03,8,0,0,0.0,6.0,0,9,0,False,22,5.38,5,0,False,24,8.85,4,0,False,24,10.13,6,0,False,27,8.44,5,0,False,27,9.48,6,0,False,26,8.25,3,0,False,25,12.06,10,0,False,25,5.44
D41831D4E9B3C18C,HannaH,16,67.96,7,6,1,0.86,8.0,2,11,1,False,22,6.71,1,2,False,24,21.5,13,0,False,24,3.99,5,2,False,27,13.83,0,0,False,0,0,11,0,False,26,5.15,10,0,False,25,5.44,5,1,False,25,11.35
A1ADC03DAFBA46BB,Violet,17,62.77,8,3,0,0.38,7.62,1,8,0,False,22,5.96,9,1,False,24,8.05,9,0,False,24,5.77,4,1,False,27,13.09,9,0,False,27,6.31,8,1,False,26,9.0,8,0,False,25,6.54,6,0,False,25,8.05
6B0E5EB04DF79505,XxAngelOfTimexX,18,59.53,8,2,0,0.25,8.0,1,5,0,False,22,8.4,6,1,False,24,10.13,5,1,False,24,11.14,14,0,False,27,4.15,7,0,False,27,7.6,10,0,False,26,5.62,9,0,False,25,5.95,8,0,False,25,6.54
FBB38224918B667B,Mel,19,56.86,8,1,1,0.12,9.38,1,7,0,False,22,6.62,10,0,False,24,5.25,1,1,False,24,19.43,13,0,False,27,4.52,12,0,False,27,4.9,13,0,False,26,4.34,12,0,False,25,4.56,7,0,False,25,7.22
B5328517DF02E79E,Twitch.tv / Soyia777,20,47.35,5,4,0,0.8,7.0,2,0,0,False,0,0,0,0,False,0,0,0,0,False,0,0,4,2,False,27,15.17,9,0,False,27,6.31,8,1,False,26,9.0,8,1,False,25,8.82,6,0,False,25,8.05
FD8027B60B98C191,Slicknar,21,46.45,4,2,1,0.5,5.75,1,0,0,False,0,0,11,0,False,24,4.79,8,0,False,24,6.35,3,1,False,27,14.84,1,1,False,27,20.46,0,0,False,0,0,0,0,False,0,0,0,0,False,0,0
53F9EFB9912B04AE,Mouton Binoclard,22,43.7,8,1,0,0.12,10.88,1,6,0,False,22,7.42,11,0,False,24,4.79,10,0,False,24,5.25,11,0,False,27,5.33,13,0,False,27,4.52,14,0,False,26,3.98,13,0,False,25,4.17,9,1,False,25,8.24
2BDAFEF855174022,F∀$〒☆ρφ†ε,23,43.63,3,1,0,0.33,2.33,1,0,0,False,0,0,0,0,False,0,0,0,0,False,0,0,0,0,False,0,0,2,0,False,27,14.93,0,0,False,0,0,2,1,False,25,16.64,3,0,False,25,12.06
FB1FACAB664624C7,Cobalt_27,24,41.66,3,2,1,0.67,4.0,1,0,0,False,0,0,0,0,False,0,0,8,0,False,24,6.35,3,1,False,27,14.84,1,1,False,27,20.46,0,0,False,0,0,0,0,False,0,0,0,0,False,0,0
E80EC0AE2EFF9621,i blast yeat 24/7 as default otter 2471,25,37.71,7,2,0,0.29,11.71,1,8,1,False,22,8.25,12,0,False,24,4.37,12,0,False,24,4.37,12,0,False,27,4.9,15,0,False,27,3.81,12,0,False,26,4.73,11,1,False,25,7.26,0,0,False,0,0
504F8F334729D335,Tioxygene☁,26,34.81,5,1,0,0.2,10.0,1,2,1,False,22,15.73,0,0,False,0,0,10,0,False,24,5.25,11,0,False,27,5.33,13,0,False,27,4.52,14,0,False,26,3.98,0,0,False,0,0,0,0,False,0,0
2B9AFF66F2F72454,Intaglio Whitegraven,27,30.79,5,1,0,0.2,10.4,1,0,0,False,0,0,0,0,False,0,0,0,0,False,0,0,15,0,False,27,3.81,6,0,False,27,8.44,9,0,False,26,6.13,13,0,False,25,4.17,9,1,False,25,8.24
5CF55A6B75BB92D1,suboptimal movement,28,30.09,4,0,0,0.0,9.0,0,0,0,False,0,0,0,0,False,0,0,0,0,False,0,0,0,0,False,0,0,14,0,False,27,4.15,7,0,False,26,7.41,2,0,False,25,14.35,13,0,False,25,4.17
